dateOpen,open,,,,,,
2016-07-09,666.3839722,,,,,,
2016-07-10,650.598999,,,,,,
2016-07-11,648.4840088,,,,,,
2016-07-12,648.28302,,,,,,
2016-07-13,664.7969971,,,,,,
2016-07-14,652.9229736,,,,,,
2016-07-15,659.1710205,,,,,,
2016-07-16,663.7810059,,,,,,
2016-07-17,661.992981,,,,,,
2016-07-18,679.809021,,,,,,
2016-07-19,672.7379761,,,,,,
2016-07-20,672.8060303,,,,,,
2016-07-21,665.2280273,,,,,,
2016-07-22,664.9219971,,,,,,
2016-07-23,650.7260132,,,,,,
2016-07-24,655.4099731,,,,,,
2016-07-25,661.2630005,,,,,,
2016-07-26,654.2260132,,,,,,
2016-07-27,651.6270142,,,,,,
2016-07-28,654.4920044,,,,,,
2016-07-29,655.1110229,,,,,,
2016-07-30,657.0120239,,,,,,
2016-07-31,655.0999756,,,,,,
2016-08-01,624.6019897,,,,,,
2016-08-02,606.3969727,,,,,,
2016-08-03,548.6560059,,,,,,
2016-08-04,566.3289795,,,,,,
2016-08-05,578.2810059,,,,,,
2016-08-06,575.0300293,,,,,,
2016-08-07,587.7709961,,,,,,
2016-08-08,592.7360229,,,,,,
2016-08-09,591.0380249,,,,,,
2016-08-10,587.6480103,,,,,,
2016-08-11,592.1240234,,,,,,
2016-08-12,588.7979736,,,,,,
2016-08-13,587.3569946,,,,,,
2016-08-14,585.5889893,,,,,,
2016-08-15,570.4940186,,,,,,
2016-08-16,567.242981,,,,,,
2016-08-17,577.7609863,,,,,,
2016-08-18,573.7069702,,,,,,
2016-08-19,574.3389893,,,,,,
2016-08-20,576.0839844,,,,,,
2016-08-21,581.9390259,,,,,,
2016-08-22,581.3109741,,,,,,
2016-08-23,586.7709961,,,,,,
2016-08-24,583.4119873,,,,,,
2016-08-25,580.1799927,,,,,,
2016-08-26,577.7529907,,,,,,
2016-08-27,579.4520264,,,,,,
2016-08-28,569.8300171,,,,,,
2016-08-29,574.0709839,,,,,,
2016-08-30,574.1140137,,,,,,
2016-08-31,577.5910034,,,,,,
2016-09-01,575.5460205,,,,,,
2016-09-02,572.4099731,,,,,,
2016-09-03,575.5549927,,,,,,
2016-09-04,598.5900269,,,,,,
2016-09-05,608.9899902,,,,,,
2016-09-06,606.5059814,,,,,,
2016-09-07,610.572998,,,,,,
2016-09-08,614.6350098,,,,,,
2016-09-09,626.3519897,,,,,,
2016-09-10,622.927002,,,,,,
2016-09-11,623.4240112,,,,,,
2016-09-12,607.0050049,,,,,,
2016-09-13,608.0250244,,,,,,
2016-09-14,608.8410034,,,,,,
2016-09-15,610.5880127,,,,,,
2016-09-16,607.2459717,,,,,,
2016-09-17,607.2180176,,,,,,
2016-09-18,606.28302,,,,,,
2016-09-19,609.8709717,,,,,,
2016-09-20,609.2540283,,,,,,
2016-09-21,603.5880127,,,,,,
2016-09-22,597.2789917,,,,,,
2016-09-23,596.1989746,,,,,,
2016-09-24,602.9609985,,,,,,
2016-09-25,602.7490234,,,,,,
2016-09-26,600.8070068,,,,,,
2016-09-27,608.0219727,,,,,,
2016-09-28,606.242981,,,,,,
2016-09-29,605.0189819,,,,,,
2016-09-30,605.7150269,,,,,,
2016-10-01,609.9290161,,,,,,
2016-10-02,613.947998,,,,,,
2016-10-03,610.9680176,,,,,,
2016-10-04,612.052002,,,,,,
2016-10-05,610.2180176,,,,,,
2016-10-06,612.4699707,,,,,,
2016-10-07,612.6079712,,,,,,
2016-10-08,617.3410034,,,,,,
2016-10-09,619.1719971,,,,,,
2016-10-10,616.8220215,,,,,,
2016-10-11,619.2379761,,,,,,
2016-10-12,640.8709717,,,,,,
2016-10-13,636.0300293,,,,,,
2016-10-14,637.0079956,,,,,,
2016-10-15,640.3109741,,,,,,
2016-10-16,639.0830078,,,,,,
2016-10-17,641.8179932,,,,,,
2016-10-18,639.4110107,,,,,,
2016-10-19,638.1339722,,,,,,
