dateOpen,open
2024-04-20,63851.10004
2024-04-19,63510.75032
2024-04-18,61275.31541
2024-04-17,63831.84722
2024-04-16,63419.29849
2024-04-15,65739.64454
2024-04-14,63836.23184
2024-04-13,67188.37643
2024-04-12,70061.3796
2024-04-11,70575.73216
2024-04-10,69140.24064
2024-04-09,71632.50266
2024-04-08,69362.554
2024-04-07,68897.11113
2024-04-06,67840.57358
2024-04-05,68515.75426
2024-04-04,65975.69667
2024-04-03,65446.67176
2024-04-02,69705.02432
2024-04-01,71333.48472
2024-03-31,69647.77903
2024-03-30,69893.44429
2024-03-29,70744.79652
2024-03-28,69452.77111
2024-03-27,69991.89651
2024-03-26,69931.32635
2024-03-25,67234.09758
2024-03-24,64070.75213
2024-03-23,63802.72196
2024-03-22,65489.92846
2024-03-21,67911.58387
2024-03-20,61930.1549
2024-03-19,67556.13116
2024-03-18,68371.30726
2024-03-17,65316.34488
2024-03-16,69392.4875
2024-03-15,71387.8732
2024-03-14,73079.37338
2024-03-13,71482.11707
2024-03-12,72125.12163
2024-03-11,69020.54977
2024-03-10,68500.25585
2024-03-09,68299.25973
2024-03-08,66938.09348
2024-03-07,66099.74165
2024-03-06,63776.05143
2024-03-05,68341.05778
2024-03-04,63137.00468
2024-03-03,62031.57852
2024-03-02,62431.65248
2024-03-01,61168.06243
2024-02-29,62499.18177
2024-02-28,57071.09805
2024-02-27,54519.36207
2024-02-26,51730.53979
2024-02-25,51565.21536
2024-02-24,50736.37007
2024-02-23,51283.90457
2024-02-22,51854.64522
2024-02-21,52273.53578
2024-02-20,51777.72851
2024-02-19,52134.81221
2024-02-18,51661.97011
2024-02-17,52161.67548
2024-02-16,51937.72691
2024-02-15,51836.78358
2024-02-14,49733.4448
2024-02-13,49941.36116
2024-02-12,48296.3852
2024-02-11,47768.96813
2024-02-10,47153.52842
2024-02-09,45297.38425
2024-02-08,44332.1256
2024-02-07,43090.0213
2024-02-06,42657.39107
2024-02-05,42577.62298
2024-02-04,42994.9408
2024-02-03,43184.96368
2024-02-02,43077.63918
2024-02-01,42569.7614
2024-01-31,42946.25137
2024-01-30,43300.22809
2024-01-29,42030.91538
2024-01-28,42126.12596
2024-01-27,41815.62502
2024-01-26,39936.81688
2024-01-25,40075.54902
2024-01-24,39877.59556
2024-01-23,39518.71545
2024-01-22,41553.65269
2024-01-21,41671.48853
2024-01-20,41624.58903
2024-01-19,41278.45919
2024-01-18,42742.31162
2024-01-17,43132.10034
2024-01-16,42499.33754
2024-01-15,41715.06653
2024-01-14,42842.26367
2024-01-13,42799.44649
2024-01-12,46354.79319
2024-01-11,46656.07308
2024-01-10,46121.53982
2024-01-09,46987.63874
2024-01-08,43948.70696
2024-01-07,43998.46424
2024-01-06,44178.95461
2024-01-05,44192.9787
2024-01-04,42855.81476
2024-01-03,44961.60319
2024-01-02,44187.13904
2024-01-01,42280.23528
2023-12-31,42152.09845
2023-12-30,42091.75264
2023-12-29,42614.64389
2023-12-28,43468.19806
2023-12-27,42518.46853
2023-12-26,43599.84759
2023-12-25,43010.57292
2023-12-24,43728.36599
2023-12-23,44012.19863
2023-12-22,43868.98642
